Name,Years active,Active From,Active To,Proven victims,Possible victims,Status,Notes,Source
"Bundy, Carol M.",1980,1980,1980,7,7,Died in prison,"With accomplice Doug Clark, known as ""The Sunset Strip Killers""""",[60]
"Bundy, Ted",1971–1978,1971,1978,28,30+,Executed 1989,Preyed on young women throughout the United States,[61]
"Buono Jr., Angelo",1977–1978,1977,1978,9,10,Died in prison,"Along with accomplice Kenneth Bianchi, known as ""The Hillside Stranglers"". Murdered young women in Los Angeles",[62]
"Butler, Eugene",1900–1906,1900,1906,6,6,Died in North Dakota State Hospital,Crimes discovered two years after his death,[63]
"Cannon, Patty",1802–1829,1802,1829,4,25+,Died in prison awaiting trial,Gang leader who kidnapped slaves and free blacks to either sell or torture them,[64]
"Caputo, Ricardo",1971–1977,1971,1977,4,6,Died in prison,Argentine-born man who killed three women in the U.S. and one in Mexico,[65]
"Carignan, Harvey",1949–1974,1949,1974,2,5+,Incarcerated 150 years,"Known as ""The Want-Ad Killer""; escaped hanging for a 1949 killing on a technicality",[66]
"Carpenter, David",1979–1981,1979,1981,7,10+,Sentenced to death,"Known as ""The Trailside Killer""",[67]
"Carr, Thomas D.",1860s–1869,1860,1869,1,15,Executed 1870,"First legal execution in Belmont County, Ohio",[68]
"Carson, Michael Bear",1981–1983,1981,1983,3,12,Sentenced to 75 years to life,"Along with his wife, Suzan Carson, dubbed ""The San Francisco Witch Killers""; considered suspects in nearly a dozen other deaths in the U.S. and Europe.[69]",[9]
"Carson, Suzan",1981–1983,1981,1983,3,12,Sentenced to 75 years to life,"Along with her husband, Michael Bear Carson, dubbed ""The San Francisco Witch Killers""; considered suspects in nearly a dozen other deaths in the U.S. and Europe.[69]",[70]
"Catlin, Steven David",1976–1984,1976,1984,3,3,Sentenced to death,Poisoned his mother and two wives with Paraquat,[71]
"Chandler, Oba",1989–1990,1989,1990,4,4+,Executed 2011,Murdered a three-person family and another woman in Florida; suspected of other murders since 1963,[citation needed]
"Chase, Richard",1977–1978,1977,1978,6,6,Committed suicide awaiting execution,"Known as ""The Vampire of Sacramento""",[72]
"Christiansen, Thor Nis",1976–1979,1976,1979,4,4,Murdered in prison by unknown assailant,Preyed on college-aged women in California,[73][74]
"Christopher, Joseph",1980–1981,1980,1981,12,12+,Died in prison,"Known as ""The Midtown Slasher""",[75]
"Clarey, Richard",1984,1984,1984,3,3+,Sentenced to life imprisonment,Neo-Nazi sympathiser who shot three men in robberies in two Michigan counties; confessed to numerous other murders,[76]
"Clark, Doug",1980,1980,1980,7,7,Sentenced to death,"With accomplice Carol M. Bundy, known as ""The Sunset Strip Killers""",[77]
"Clark, Hadden",1986–1992,1986,1992,2,2+,Sentenced to 70 years,Cannibal convicted of two murders; confessed to killing 12,[78]
"Clark, Roland E.",1967,1967,1967,2,9,Died in prison,Doctor who poisoned his assistants,[32][unreliable source?]
"Clement, Mary",1880–1885,1880,1885,4,4,Died in 1944,Luxembourgish immigrant who poisoned her family members with arsenic; released in 1886,[79]
"Cline, Alfred Leonard",1930–1945,1930,1945,9,11,Died in prison,Murdered his wives with poisoned buttermilk after persuading them to will their possessions to his name,[80]
"Coffman, Cynthia",1986,1986,1986,4,4,Sentenced to death,Kidnapped four women by ATMs before accomplice strangled them,[81]
"Cole, Carroll",1947–1980,1947,1980,16,35,Executed 1985,"Strangled fifteen women and one boy in California, Nevada and Texas",[82][83][84][85]
"Coleman, Alton",1984,1984,1984,8,8,Executed 2002,"Multi-state killer who along with his accomplice murdered a man and injured another, murdered four women and three young girls, and raped a young girl",[52]
"Colvin, Dellmus",1987–2005,1987,2005,7,7+,Sentenced to life imprisonment,Truck driver who killed prostitutes in New Jersey and Ohio,[86]
"Conde, Rory Enrique",1994–1995,1994,1995,6,6,Sentenced to death,"Known as ""The Tamiami Trail Strangler""",[87]
"Cook, Anthony",1973–1981,1973,1981,9,9+,Sentenced to 15 years to life imprisonment,Committed crimes with his brother Nathaniel Cook,[88]
"Cook, Nathaniel",1973–1981,1973,1981,9,9+,Released in 2018,Committed crimes with his brother Anthony Cook,[88]
"Cooks, Jessie Lee",1973–1974,1973,1974,15,73+,Sentenced to life imprisonment,"Part of ""The Death Angels"" cult responsible for the Zebra murders",[89]
"Copeland, Faye",1986–1989,1986,1989,5,12,Died in prison awaiting execution,"Along with her husband, Ray Copeland, the oldest couple ever sentenced to death in the United States",[90][91][92][93][94]
"Copeland, Ray",1986–1989,1986,1989,5,12,Died in prison awaiting execution,"Along with his wife, Faye Copeland, the oldest couple ever sentenced to death in the United States",[90][91][92][93][94]
"Corll, Dean",1970–1973,1970,1973,28,28+,Killed by accomplice Elmer Wayne Henley,"Crimes referred to as ""The Houston Mass Murders""",[95]
"Corona, Juan",1971,1971,1971,25,25+,Died in prison,Majority of victims had been transient workers,[96][97]
"Corwin, Daniel Lee",1987,1987,1987,3,3,Executed 1998,Abducted and killed three women around Texas,[98]
"Costa, Tony",1968–1969,1968,1969,4,8,Committed suicide in prison,"Preyed on women in and around Truro, Massachusetts",[99]
"Cottingham, Richard",1967–1980,1967,1980,9,85–100,Sentenced to life imprisonment,"Known variously as ""The Butcher of Times Square"", ""The Torso Killer"", ""The New York (City) Ripper"", and ""The Times Square Torso Ripper""",[100][101][102]
"Cowan, Mary",1884–1894,1884,1894,6,6,Died in prison,"Known as ""The Borgia of Maine""",[103]
"Cox, Frederick Pete",1997,1997,1997,3,3,Sentenced to life imprisonment,"Murdered prostitutes in Orlando, Florida",[104]
"Cox, Scott William",1980s–1990,1980,1990,2,20+,Granted parole in 2013,"Suspected in various murders across Oregon, Washington and possibly Canada",[105]
"Craine, Louis",1984–1987,1984,1987,4,5+,Died in prison,"Responsible for at least two of ""The Southside Slayer"" murders in South Los Angeles",[106]
"Crawford, Andre",1993–1999,1993,1999,11,11,Sentenced to life imprisonment,Chicago transient who preyed on prostitutes and the destitute,[107]
"Creighton, Mary Frances",1920–1935,1920,1935,1,4,Executed 1936,"Poisoned her lover's wife; suspected of poisoning her mother in-law, father in-law, and younger brother",[108]
"Cullen, Charles",1988–2003,1988,2003,10,40+,Incarcerated 127 years,A nurse in New Jersey and Pennsylvania,[109]
"Cunanan, Andrew",1997,1997,1997,5,5,Committed suicide while a fugitive,Italian fashion designer Gianni Versace was among his victims,[110]
"Curry, James Richard",1982–1983,1982,1983,4,5,Committed suicide after being arrested,"One victim was Mary Silvani, whose identity was not discovered for 37 years",[111]
"Dahmer, Jeffrey",1978–1991,1978,1991,17,17,Murdered by inmate Christopher Scarver,Milwaukee cannibal who retained various body parts of his victims,[112]
"DeAngelo, Joseph James",1979–1986,1979,1986,13,13+,Sentenced to life imprisonment,"Known as ""The Golden State Killer"", ""The Visalia Ransacker"", ""The East Area Rapist"", and ""The Original Night Stalker""; murdered three people in Sacramento and 10 people in Southern California from 1975 through 1986; also linked to more than 50 rapes in the Sacramento area from 1976 to 1979",[113][114][115][116][117]
"DeBardeleben, Mike",1965–1983,1965,1983,0,8,Died from pneumonia in prison,"Known as ""The Mall Passer""; convicted rapist and counterfeiter who kidnapped, raped, and tortured numerous women. Although never convicted of murder, Debardeleben is suspected to be behind the killings of at least eight women",[118]
"Dieteman, Samuel",2005–2006,2005,2006,8,8,Sentenced to life imprisonment,Accomplice Dale Hausner committed suicide in prison,[119]
"Dillon, Thomas",1989–1992,1989,1992,5,5+,Died in prison,Shot men at random in southeastern Ohio,[120]
"Dodd, Westley Allan",1989,1989,1989,3,3,Executed 1993,"Convicted sex offender who sexually assaulted and murdered three young boys in Vancouver, Washington in 1989",[121]
"Dominique, Ronald",1997–2006,1997,2006,23,23+,Sentenced to life imprisonment,Raped and murdered male victims in Louisiana,[122]
"Doss, Nannie",1927–1954,1927,1954,8,11,Died in prison,"Known as ""The Giggling Granny"" and ""The Jolly Black Widow""; serial poisoner killed four husbands, two children, her two sisters, her mother, a grandson, and a mother-in-law",[123]
"Dowler, David",1983–1987,1983,1987,3,3,Sentenced to life imprisonment,"Poisoned three acquaintances in Odessa, Texas",[124]
"Dugan, Brian",1983–1985,1983,1985,3,3,Sentenced to life imprisonment,"Serial rapist active in and around Chicago, Illinois",[125]
"Duncan III, Joseph E.",1996–2005,1996,2005,5,7,Sentenced to life imprisonment,Raped at least 17 young boys and three young girls,[126][127]
"Durousseau, Paul",1997–2003,1997,2003,7,7+,"Sentenced to death (overturned on January 31, 2017; awaiting resentencing)","Murdered seven women in the Southeastern United States, included two who were pregnant; German authorities suspect Durousseau may have killed several local women when he was stationed there with the Army during the early 1990s",[128]
"Eaton, Dale Wayne","1988, 2001",1988,1988,2,11+,Sentenced to death (overturned – awaiting resentencing hearing),"Eaton is also suspected of being behind the killings known as ""The Great Basin Murders""",[129]
"Edwards, Andrew David",1987–1992,1987,1992,4,4,Sentenced to life imprisonment,Murdered transients in alcohol-induced rages,[130]
"Edwards, Edward",1977–1996,1977,1996,5,15,Died in prison awaiting execution,Sentenced to death for shooting his foster son in 1996 insurance murder,[131][132]
"Edwards, Mack Ray",1953–1970,1953,1970,3,18,Committed suicide awaiting execution,"Preyed on children in Los Angeles County, California",[133][134]
"Ellis, Walter E.",1986–2007,1986,2007,7,7,Died in prison,"Known as ""The Milwaukee North Side Strangler""",[135]
"Erskine, Scott",1989–1993,1989,1993,3,3+,Died in prison awaiting execution,Raped and murdered two young boys in California and a woman in Florida,[136][137]
"Espinosa, Felipe",1863,1863,1863,32,32,Killed by Tom Tobin,Murdered various people across the Colorado Territory,
"Evans, Donald Leroy",1985–1991,1985,1991,3,70,Died in prison; murdered by a fellow death row inmate,Suspected of another dozen murders but recanted his confessions to over 70 more,[138]
"Evans, Franklin B.",1850–1872,1850,1872,2,5+,Executed 1874,"Known as ""The Northwood Murderer""; vagrant who murdered at least two young girls in New Hampshire, and possibly more in Maine and Massachusetts",[139]
"Evans, Gary",1985–1997,1985,1997,5,5,Committed suicide after escaping police custody,"Leader of a ring of jewelry and antique thieves who operated in and around Capital District, New York",[140]
"Evonitz, Richard",1996–1997,1996,1997,3,3+,Committed suicide to avoid apprehension,"Kidnapped, raped and mudered three girls in Spotsylvania County, Virginia and abducted and assaulted a 15-year-old girl in Richland County, South Carolina",[141]
"Eyler, Larry",1982–1984,1982,1984,21,24,Died in prison awaiting execution,"Known as ""The Interstate Killer""",[142]
"Falling, Christine",1980–1982,1980,1982,6,6,Sentenced to life imprisonment,Epileptic who strangled infants because of voices in her head,[143]
"Falls, Neal",1992–2015,1992,2015,0,10+,Killed by intended victim,Suspected of killing up to 10 women before being killed in self defense.,[144]
"Fautenberry, John",1990–1991,1990,1991,5,6,Executed 2009,"Befriended, murdered and robbed people across four states",[145]
"Fayne, Lorenzo",1989–1993,1989,1993,6,6,Sentenced to death; commuted to life imprisonment,Raped and murdered a woman and five children in Wisconsin and Illinois,[146]
"Feigenbaum, Carl",1888–1894,1888,1894,1,13+,Executed 1896,"German sailor who murdered his landlord in 1894; allegedly responsible for murders in other countries, also a suspect in the Jack the Ripper case",[147]
"Fernandez, Raymond",1947–1949,1947,1949,3,20,Executed 1951,"Along with accomplice Martha Beck, became known as ""The Lonely Hearts Killers""",[28]
"Fish, Albert",1924–1932,1924,1932,3,8+,Executed 1936,"Known as ""The Werewolf of Wysteria""; sadist and pedophile who cannibalized several children.",[148]
"Fisher, Lavinia","?–1819?""",1800,1819,0,Numerous,Executed 1820,Along with her husband John was a member of a highway gang; allegedly killed travelers visiting her inn,[149]
"Ford, Wayne Adam",1997–1998,1997,1998,4,4+,Sentenced to death,Killed and mutilated four women in California,[150][151]
"Fowler, Bobby Jack",1973–1996,1973,1996,1,20,Died in prison,"Convicted of one murder, suspected of up to 20 more",[152] [153]
"Francois, Kendall",1996–1998,1996,1998,8,10+,Died in prison,"Known as ""The Poughkeepsie Killer""",[154]
"Franklin, Joseph Paul",1977–1980,1977,1980,11,22,Executed 2013,Also attempted to assassinate Larry Flynt and Vernon Jordan,[155]
"Franklin Jr., Lonnie David",1985–2007,1985,2007,10,25+,Died in prison,"Known as ""The Grim Sleeper""; charged after DNA evidence linked him with ten murders in Los Angeles since 1985",[156]
"Gacy, John Wayne",1972–1978,1972,1978,33,33+,Executed 1994,"Known as ""The Killer Clown""",[157][158]
"Gallego, Gerald",1978–1980,1978,1980,10,10,Died awaiting execution,Accomplice Charlene Gallego released 1997,[159]
"Gargiulo, Michael",1993–2008,1993,2008,3,10,Awaiting capital murder trial,"Known as ""The Hollywood Ripper""""",[160]
"Gary, Carlton",1970–1978,1970,1978,7,7+,Executed 2018,"Known as ""The Stocking Strangler""",[161]
"Gaskins, Donald Henry",1953–1982,1953,1982,9,100+,Executed 1991,Convicted of nine murders; claimed to an author to have killed more than 100,[162]
"Gaynor, Alfred",1995–1998,1995,1998,9,9,Sentenced to life imprisonment,"Raped and strangled drug-addicted women in Springfield, Massachusetts",[163]
"Gecht, Robin",1981–1982,1981,1982,18,18,Incarcerated for 120 years,"Member of the satanic cult and organized crime group known as ""The Ripper Crew"" or ""The Chicago Rippers""","[164] ""[165]"
"Gein, Ed",1954–1957,1954,1957,2,7,Died while incarcerated at Mendota Mental Health Institute,"Known as ""The Plainfield Ghoul""; Gein's life and crimes have inspired, at least in part, the novels/films, Psycho and The Silence of the Lambs, and the 1974 movie, The Texas Chain Saw Massacre.",[166][167]
"Geralds, Hubert",1994–1995,1994,1995,5,5,Sentenced to death; commuted to life imprisonment,"Known as ""The Englewood Strangler""",[168]
"Gibbs, Janie Lou",1966–1967,1966,1967,5,5,Died in prison,"Killed her three sons, a grandson, and her husband, by arsenic poisoning",[169]
"Gibson, Mose",1908–1920,1908,1920,3,7+,Executed 1920,Guilt has been questioned,[170]
"Gibson, William Clyde",2002–2012,2002,2012,3,3+,Sentenced to death,Sexually assaulted and murdered women across Indiana,[171]
"Gifford, Bertha",1900–1928,1900,1928,3,17,Died in Missouri State Hospital #4,Found not guilty by reason of insanity,[172]
"Gilbert, Kristen",1989–1996,1989,1996,4,4,Sentenced to life imprisonment,"Induced cardiac arrest in patients and would then respond to the coded emergency, often resuscitating the patients herself",[173]
"Giles, Bernard",1973,1973,1973,5,5,Sentenced to life imprisonment,"Abducted, raped and murdered female hitchhikers in orange groves near Titusville, Florida",[174]
"Gillis, Sean Vincent",1994–2004,1994,2004,8,8,Sentenced to life imprisonment,"Stalked, kidnapped, raped, murdered, and mutilated Louisiana women",[175][176]
"Gilyard, Lorenzo",1977–1993,1977,1993,12,13,Sentenced to life imprisonment,"Known as ""The Kansas City Strangler""",[177]
"Glatman, Harvey",1957–1958,1957,1958,3,4,Executed 1959,"Known as ""The Lonely Hearts Killer""; lured women to pose for ""bondage photographs""",
"Glaze, Billy",1986–1987,1986,1987,3,20+,Died in prison,Guilt has come into question by the discovery of DNA evidence excluding Glaze and implicating another man,[178] [179]
"Gohl, Billy",1902–1910,1902,1910,2,100+,Died in prison,"Union official linked with the disappearances of over 40 sailors in Aberdeen, Washington in the early 20th century",[9][unreliable source?]
"Gore, David Alan",1981–1983,1981,1983,6,6,Executed 2012,"One of the pair known as ""The Killing Cousins""",[180]
"Goudeau, Mark",2005–2006,2005,2006,9,9,Sentenced to death,"Known as ""The Baseline Killer""",[181]
"Graham, Gwendolyn",1987,1987,1987,5,6,Sentenced to life imprisonment,Accomplice of Cathy Wood,[182][183]
"Graham, Harrison",1986–1987,1986,1987,7,7,Sentenced to life imprisonment,Murdered seven women in Philadelphia,[184]
"Grant, Gary",1969–1971,1969,1971,4,4,Sentenced to life imprisonment,"Killed three children and a young woman in Renton, Washington",[185]
"Grate, Shawn",2006–2016,2006,2016,5,5,Sentenced to death,Murdered women in rural Ohio,[186][187][188][189]
"Gray, Dana Sue",1994,1994,1994,3,3,Sentenced to life imprisonment,"Preyed on elderly women, murdering three; caught after a fourth intended victim survived and identified her",[190]
"Gray, Marvin",1971–1992,1971,1992,3,41,Died in prison,Most dangerous prisoner in Colorado until his death; confessed to the murders of 41 people across eight different states,[191]
"Gray, Ronald",1986–1987,1986,1987,4,4,Sentenced to death,Soldier who raped and murdered women near Fort Bragg,[192]
"Green, Larry",1973–1974,1973,1974,15,73+,Sentenced to life imprisonment,"Part of ""The Death Angels"" cult responsible for the Zebra murders",[89]
"Green, Ricky Lee",1985–1986,1985,1986,4,12,Executed 1997,Bisexual drifter; his wife helped in two of the murders,[193]
"Green, Samuel",1817–1821,1817,1821,2,2+,Executed 1822,"Known as ""The Terror of New England""",[194]
"Greenwood, Vaughn",1964–1975,1964,1975,11,11,Sentenced to life imprisonment,"Known as ""The Skid Row Slasher""",[195][unreliable source?]
"Groves, Vincent",1978–1988,1978,1988,7,20+,Died in prison,Raped and strangled prostitutes in Denver and the surrounding areas,[196]
"Gunness, Belle",1900–1908,1900,1908,25,40,Unknown,Norwegian-born murder-for-profit killer who killed her suitors and children,[197]
"Hahn, Anna Marie",1933–1937,1933,1937,5,5,Executed 1938,German-born murder-for-profit killer who poisoned five elderly men,
"Halbower, Rodney",1976,1976,1976,2,5,Sentenced to life imprisonment,Suspect in the Gypsy Hill killings,[198]
"Halliday, Lizzie",1890s,1890,1899,4,7,Died in Matteawan State Hospital for the Criminally Insane,First woman sentenced to be executed by the electric chair,[199]
"Hance, William Henry",1977–1978,1977,1978,4,4,Executed 1994,"Known as ""The Forces of Evil""",
"Hansen, Robert",1971–1983,1971,1983,17,21+,Died in prison,"Known as ""The Butcher Baker""",[200]
Harpe Brothers,1797–1804,1797,1804,39,50+,Murdered/executed,Brothers or cousins; America's first known serial killers,[201]
"Harris, DeWayne Lee",1997–1998,1997,1998,3,3+,94 years imprisonment,"Known as ""The Seattle Jungle Killer""; strangled prostitutes in Seattle, dumping their bodies in an area known as 'The Jungle'",[202]
"Harvey, Donald",1970–1987,1970,1987,37,80,Killed by prison inmate James Elliott,"Known as ""The Angel of Death""",[203]
"Hatcher, Charles Ray",1969–1982,1969,1982,2,16,Committed suicide in prison,"Convicted of two child murders in 1978 and 1982, also stabbed to death a fellow inmate and another man 20 years apart",[204]
"Hausner, Dale",2006,2006,2006,8,8,Committed suicide in prison,Convicted of killing people in random drive-by shootings,[205]
"Hayward, Harry T.",1894,1894,1894,1,4,Executed 1895,"Known as ""The Minneapolis Svengali""",[206]
"Hazzard, Linda",1908–1911,1908,1911,1,13,Died in 1938,Served two years,[207]
"Heirens, William",1945–1946,1945,1946,3,3,Died in prison,"Known as ""The Lipstick Killer""; Illinois teenager convicted of the murder of three Chicago women in the 1940s",[208]
"Helm, Boone",1850–1864,1850,1864,11,11+,Executed 1864,"Known as ""The Kentucky Cannibal""",[209][210]
"Henley, Elmer Wayne",1970–1973,1970,1973,6,6,Sentenced to life imprisonment,"Crimes referred to as ""The Houston Mass Murders""",[95][211]
"Hermann, Francis",1890–1896,1890,1896,2,8,Unknown,"Known as ""The Priestly Butcher""; English-born pastor who murdered female church-goers, ex-wives and two of his children",[212]
"Herzog, Loren",1984–1999,1984,1999,3,19,Committed suicide awaiting parole release,"Along with accompliace Wesley Shermantine known as ""The Speed Freak Killers""",[213]
"Hickey, J. Frank",1883–1911,1883,1911,3,3,Died in prison,"Known as ""The Postcard Killer""",[214]
"Hill, Ivan",1979–1994,1979,1994,9,9+,Sentenced to death,"Known as ""The 60 Freeway Killer""; responsible for at least one of the Southside Slayer murders",[215]
"Hilley, Audrey Marie",1975–1980,1975,1980,1,4,Died in prison,"Poisoned her husband; suspected of poisoning her mother, mother-in-law and a child she was looking after",[216]
"Hoch, Johann Otto",1890–1905,1890,1905,1,50+,Executed 1906,"Known as ""The Stockyard Bluebeard""",
"Hohenberger, Robert",1978,1978,1978,0,5,Committed suicide to avoid apprehension,"Former California police deputy linked to the kidnap-murders of teenagers in Morgan City, Louisiana",[217]
"Holmes, H. H.",1891–1894,1891,1894,9,27+,Executed 1896,"Convicted of only one murder, but definitively tied to at least eight more; confessed to a total of 27",[218][219]
"Howell, William Devin",2003,2003,2003,7,7,Sentenced to life imprisonment,Convicted of killing seven people in 2003; believed to be the most prolific serial killer in Connecticut history,[220][221]
"Hoyt, Waneta",1965–1971,1965,1971,5,5,Died in prison,Exonerated under New York law because she died before her appeal,[222]
"Hughes, Michael",1986–1993,1986,1993,7,7+,Sentenced to death,Responsible for at least one of the Southside Slayer murders,[223]
"Hunter, Richard Louis",1986,1986,1986,4,4,Sentenced to life imprisonment,Raped and strangled elderly women in Atlanta,[224]
"Irvin, Leslie",1954–1955,1954,1955,6,6+,Died in prison,His Supreme Court case set a precedent for fair trials of highly publicized defendants,[225]
